iteration, reward, inf_norm_diff
1, -1589.9956638408867, 8.353410509671399
2, -1542.1487547351076, 8.347328317782251
3, -1531.6871947970074, 8.436999982874758
4, -1483.6847252372281, 8.613309909617369
5, -1455.3587882642491, 8.460638500045887
6, -1425.1438591628462, 8.551638242854954
7, -1427.4323804265382, 8.429723626397303
8, -1464.6579623979335, 8.447852242384334
9, -1534.0140911976764, 8.370329719753874
10, -1463.0857473711962, 8.396122939758493
11, -1404.796596285334, 8.299567298982266
12, -1341.7112268619744, 8.156409127193966
13, -1444.580181430501, 8.396515031216742
14, -1412.4450722539946, 8.090712676053716
15, -1465.1327915085478, 8.23054505767888
16, -1386.1621391564836, 8.114126447591314
17, -1499.7514280599967, 8.15668901884841
18, -1454.1308166740143, 8.148435186604857
19, -1368.405655012239, 8.08496885894247
20, -1393.5645619140726, 8.156181529113853
21, -1373.8739315805553, 8.15885268220354
22, -1391.5465628216746, 8.209556230779906
23, -1563.162444730164, 8.27798389508384
24, -1502.5769527161024, 8.270365707472607
25, -1321.1748197552358, 8.038096608208484
26, -1448.4427526384086, 8.14508861638648
27, -1406.6053363485314, 8.076107956754411
28, -1514.68280100878, 8.185702240682486
29, -1464.5767937617804, 8.065761901779252
30, -1401.9511096451922, 7.900995777382625
31, -1435.2534385122458, 7.8369558455620485
32, -1406.2382186807445, 7.7437082587668655
33, -1351.9779182678699, 7.697175606147534
34, -1438.185276532308, 8.176323808473237
35, -1241.9907126140765, 7.6435778988548355
36, -1200.893752363541, 7.511728875586171
37, -1186.7166262631085, 7.573682484629472
38, -1266.1752896927096, 7.5869856313842465
39, -1276.5239692187192, 7.892339382033143
40, -1427.654165006703, 7.830557927318946
41, -1282.1223448087399, 7.702380248488314
42, -1316.761563247282, 7.447587564280629
43, -1322.9672272387766, 7.605039761562317
44, -1339.2269481679227, 8.019691816139307
45, -1264.5271706581789, 7.742788042785152
46, -1274.4648936785768, 7.8741146351155455
47, -1176.1436966901365, 7.8290008276480565
48, -1324.3335150793255, 7.786126224159215
49, -1039.8664103421415, 7.4417405107994306
50, -1531.955990383265, 8.106040259485386
51, -1334.5218504030386, 7.926490482415303
52, -905.2966839403755, 7.155030003406544
53, -1134.9823603418267, 7.181451314253717
54, -1319.2258795951227, 7.264589396255303
55, -1296.6403831374666, 7.357718308961167
56, -1191.008568280312, 7.408137134170651
57, -1230.6395528181179, 7.3480630436056265
58, -1248.2147855857208, 7.22287657203765
59, -1301.7256460817637, 7.65226079275585
60, -1262.9717783480487, 7.582334780612001
61, -1451.5912744895325, 7.556774379031698
62, -1289.1284695909185, 7.326490147221394
63, -1217.0994468297085, 7.071597931035903
64, -1179.4235595790942, 7.114103858015695
65, -1195.6702705556752, 6.954314631242612
66, -1108.9074060207015, 6.863011222819788
67, -1157.4033846396953, 6.772592249884865
68, -1192.2473989257226, 6.646235156410675
69, -1064.7833330560634, 6.790972581927942
70, -1156.30971880422, 6.966491159834629
71, -1295.3336276117584, 7.596473495548297
72, -1020.055005173851, 6.947071907838446
73, -1046.9345868589512, 6.441252016472219
74, -1129.1053673161523, 6.78567874381859
75, -809.6939645111235, 5.726701463462713
76, -1185.081835521811, 6.694662680576219
77, -745.5684928318817, 5.701590090410662
78, -853.2738364363797, 5.86481461309398
79, -1126.901067554092, 6.38374793957817
80, -1095.1818758669199, 7.034046218286497
81, -979.0077876883464, 6.0825793305975395
82, -971.9019884726656, 6.786795245395165
83, -451.39076496207025, 6.613919125797887
84, -624.029135097646, 6.34526624904516
85, -502.55631799695675, 6.6426223454941535
86, -433.3786079372965, 6.254225227971965
87, -544.958251422363, 6.152613575571262
88, -487.8015817854101, 5.6237909668954735
89, -698.0932572930903, 6.003543788666146
90, -641.4253530577258, 6.173335388067937
91, -497.00069862153197, 5.328264726899523
92, -347.51877370564506, 4.4872001022665415
93, -334.6994437626504, 4.609321966729622
94, -458.73843694721864, 4.8847942135747
95, -387.2161387761221, 4.567039823462537
96, -525.9931833664039, 4.579346051708174
97, -556.6142158499383, 4.695534550540648
98, -314.55121160892, 5.803239576390957
99, -578.6404277347533, 4.582484241171917
100, -373.9306477100722, 4.794016071281528
101, -461.93406637298574, 4.435482960048313
102, -343.5870879886377, 4.311819861636981
103, -426.1576761391696, 4.371844399559066
104, -278.17465041842405, 5.4103074460722205
105, -260.399855217623, 5.647695696804491
106, -295.5704115722301, 3.996389908401868
107, -325.4751555727379, 3.8500654926771443
108, -197.67427073625464, 3.2259261571216267
109, -198.20423752722013, 4.386659821837412
110, -237.78578502581655, 3.6531819785501067
111, -270.0446570007058, 4.399306028262048
112, -182.82265621083462, 4.317823103073169
113, -210.66802076606365, 3.362057683662851
114, -252.57920648452674, 4.039207564473194
115, -188.5853732076509, 2.930162754234628
116, -217.814508750924, 3.79453564630631
117, -178.00543738409453, 3.475642232252976
118, -226.15290310969962, 3.2692697865807263
119, -205.04599741000598, 3.306225083044829
120, -158.42020134957252, 3.3448429342940913
121, -244.83558124208716, 3.419470808228015
122, -221.3993925892636, 3.0508935942272983
123, -269.71688151258496, 3.382670714121988
124, -182.70555502471586, 2.9976687414238254
125, -179.50416493628313, 6.492019599120423
126, -236.74945801710822, 3.8270539736572986
127, -236.99945036779536, 3.4423411960998735
128, -192.81024920829924, 2.7753817188633745
129, -231.6852671041499, 3.0832844107003816
130, -232.21645722565955, 3.4347700811932835
131, -256.0910579201767, 2.994222967933868
132, -235.57073175614678, 2.9245808358005974
133, -167.8115891831382, 3.0426617682293813
